state,agency,siteName,imageCount,resolvedImageCount,candidateName,reason
New York,Other,Mohonk National Historic Landmark,1,1,Mohonk National Historic Landmark,No confident pin match
New York,Other,National Parks of Manahatta,2,2,National Parks of Manahatta,No confident pin match
Ohio,Other,This is an earned patch for completing a GPS booklet in Badlands NP.,2,2,This is an earned patch for completing a GPS booklet in Badlands NP.,No confident pin match
South Carolina,Other,Overmountain Victory National Historic Trail,2,2,Overmountain Victory National Historic Trail,No confident pin match
South Dakota,Other,Tennesse,6,6,Tennesse,No confident pin match
Washington,Other,Archaeology Program,1,1,Archaeology Program,No confident pin match
Washington,Other,Kids in Parks,3,3,Kids in Parks,No confident pin match
Washington,Other,"Outdoor Ethics, Leave No Trace",3,3,"Outdoor Ethics, Leave No Trace",No confident pin match
Washington,Other,Patch,5,5,,No confident pin match
Washington,Other,Ranger Rendezvous 42,1,1,Ranger Rendezvous 42,No confident pin match
Washington,Other,Take a Step; The Path to Sustainability,1,1,Take a Step; The Path to Sustainability,No confident pin match
Washington,Other,Washington D.C,2,2,,No confident pin match
Washington,Other,World Ranger Day,2,2,World Ranger Day,No confident pin match
Wyoming,Other,Agents of Discovery,20,12,Agents of Discovery,No confident pin match
Wyoming,Other,And Banner,1,1,,No confident pin match
Wyoming,Other,Misc...,2,2,Misc...,No confident pin match
Wyoming,Other,stuff banner,1,1,stuff banner,No confident pin match
Alabama,State Parks,Alabama State Parks,4,4,Alabama State Parks,No confident pin match
Alabama,State Parks,Green badge,1,1,Green badge,No confident pin match
Alabama,State Parks,Silver badge with hat,1,1,Silver badge with hat,No confident pin match
Alabama,State Parks,Wooden hat,1,1,Wooden hat,No confident pin match
Alaska,State Parks,Aka pin,1,1,Aka pin,No confident pin match
Alaska,State Parks,Den,1,1,Den,No confident pin match
Arizona,State Parks,Arizona State Parks,12,12,Arizona State Parks,No confident pin match
Arizona,State Parks,Catalina2,1,1,Catalina2,No confident pin match
Arizona,State Parks,Cattail,1,1,Cattail,No confident pin match
Arizona,State Parks,Fool Hollow,1,1,Fool Hollow,No confident pin match
Arizona,State Parks,For Ver,1,1,For Ver,No confident pin match
Arizona,State Parks,Jermoe,1,1,Jermoe,No confident pin match
Arizona,State Parks,Jermoe2,1,1,Jermoe2,No confident pin match
Arizona,State Parks,Kar,1,1,Kar,No confident pin match
Arizona,State Parks,Lake Havasu1,1,1,Lake Havasu1,No confident pin match
Arizona,State Parks,Lost Dutchman2,1,1,Lost Dutchman2,No confident pin match
Arizona,State Parks,Riordan,1,1,Riordan,No confident pin match
Arizona,State Parks,Tubac,1,1,Tubac,No confident pin match
Arizona,State Parks,Yuma,1,1,Yuma,No confident pin match
Arizona,State Parks,Yuma Territrial Prison button pin,1,1,Yuma Territrial Prison button pin,No confident pin match
Arizona,State Parks,tombstone1,1,1,tombstone1,No confident pin match
Arkansas,State Parks,Little Rock Parks and Recreation,1,1,Little Rock Parks and Recreation,No confident pin match
California,State Parks,Bal,1,1,Bal,No confident pin match
California,State Parks,Bear breast cancer patch,1,1,Bear breast cancer patch,No confident pin match
California,State Parks,Bear patch,1,1,Bear patch,No confident pin match
California,State Parks,Cal ran bud,1,1,Cal ran bud,No confident pin match
California,State Parks,Cali star purple bear,1,1,Cali star purple bear,No confident pin match
California,State Parks,Cat Isl con,1,1,Cat Isl con,No confident pin match
California,State Parks,Eagle patch,1,1,Eagle patch,No confident pin match
California,State Parks,Fol P,1,1,Fol P,No confident pin match
California,State Parks,Gho Roc,1,1,Gho Roc,No confident pin match
California,State Parks,Gray pin,1,1,Gray pin,No confident pin match
California,State Parks,Harbors Beach,1,1,Harbors Beach,No confident pin match
California,State Parks,Hea Cas,1,1,Hea Cas,No confident pin match
California,State Parks,Indian CAn,1,1,Indian CAn,No confident pin match
California,State Parks,Jun War,1,1,Jun War,No confident pin match
California,State Parks,Junior Lifegaurd,1,1,Junior Lifegaurd,No confident pin match
California,State Parks,K9,1,1,,No confident pin match
California,State Parks,Laguna,1,1,Laguna,No confident pin match
California,State Parks,Loa Flo,1,1,Loa Flo,No confident pin match
California,State Parks,Mendocino Headlands State Park,1,1,Mendocino Headlands State Park,No confident pin match
California,State Parks,Met St Ba,1,1,Met St Ba,No confident pin match
California,State Parks,Mor,1,1,Mor,No confident pin match
California,State Parks,Nat Bri,1,1,Nat Bri,No confident pin match
California,State Parks,Ohlone,1,1,Ohlone,No confident pin match
California,State Parks,Orange County Mane,1,1,Orange County Mane,No confident pin match
California,State Parks,Ot Va,1,1,Ot Va,No confident pin match
California,State Parks,Panther,1,1,Panther,No confident pin match
California,State Parks,Point Sur State Historic Park,1,1,Point Sur State Historic Park,No confident pin match
California,State Parks,Saddleback Butte State Park / Tule Elk State Natural Reserve,1,1,Saddleback Butte State Park / Tule Elk State Natural Reserve,No confident pin match
California,State Parks,San D,1,1,San D,No confident pin match
California,State Parks,Santa Barbara County Parks panther,1,1,Santa Barbara County Parks panther,No confident pin match
California,State Parks,Santa ana stic,1,1,Santa ana stic,No confident pin match
California,State Parks,Santa clara,1,1,Santa clara,No confident pin match
California,State Parks,Seacliff SB,1,1,Seacliff SB,No confident pin match
California,State Parks,So Co,1,1,So Co,No confident pin match
California,State Parks,Star,1,1,Star,No confident pin match
California,State Parks,Wil Lov,1,1,Wil Lov,No confident pin match
California,State Parks,Woodpecker patch,1,1,Woodpecker patch,No confident pin match
California,State Parks,button1,1,1,button1,No confident pin match
California,State Parks,button4,1,1,button4,No confident pin match
California,State Parks,cou san di,1,1,cou san di,No confident pin match
California,State Parks,soma county sticker,1,1,soma county sticker,No confident pin match
California,State Parks,soma county1,1,1,soma county1,No confident pin match
Colorado,State Parks,Chey pat,1,1,Chey pat,No confident pin match
Colorado,State Parks,Jefferson County,1,1,Jefferson County,No confident pin match
Colorado,State Parks,Mesa,1,1,Mesa,No confident pin match
Colorado,State Parks,North Cheyenne Canon Park,1,1,North Cheyenne Canon Park,No confident pin match
Colorado,State Parks,Pountain Creek,1,1,Pountain Creek,No confident pin match
Colorado,State Parks,Ridway,1,1,Ridway,No confident pin match
Colorado,State Parks,Roxborough,1,1,Roxborough,No confident pin match
Colorado,State Parks,Roy Gor,1,1,Roy Gor,No confident pin match
Connecticut,State Parks,Greenwich Point patch,1,1,Greenwich Point patch,No confident pin match
Florida,State Parks,Camper,1,1,Camper,No confident pin match
Florida,State Parks,Coral Park Explorer,1,1,Coral Park Explorer,No confident pin match
Florida,State Parks,Deer,1,1,Deer,No confident pin match
Florida,State Parks,Fox,1,1,Fox,No confident pin match
Florida,State Parks,Get Outdoors,1,1,Get Outdoors,No confident pin match
Florida,State Parks,Owl,1,1,Owl,No confident pin match
Florida,State Parks,SP Patch (2),1,1,,No confident pin match
Florida,State Parks,Talbot Islands State Parks,1,1,Talbot Islands State Parks,No confident pin match
Georgia,State Parks,Brasstown Bald,1,1,Brasstown Bald,No confident pin match
Georgia,State Parks,Indian Springs State Park,1,1,Indian Springs State Park,No confident pin match
Georgia,State Parks,Reynolds Mansion,1,1,Reynolds Mansion,No confident pin match
Idaho,State Parks,Castle Rock Badge,1,1,Castle Rock Badge,No confident pin match
Idaho,State Parks,Dwo,1,1,Dwo,No confident pin match
Idaho,State Parks,Fox,2,2,Fox,No confident pin match
Idaho,State Parks,Henrys Lake SP,1,1,Henrys Lake SP,No confident pin match
Idaho,State Parks,Ida bro,1,1,Ida bro,No confident pin match
Idaho,State Parks,Idaho State Parks,20,12,Idaho State Parks,No confident pin match
Idaho,State Parks,Lak Cas,1,1,Lak Cas,No confident pin match
Idaho,State Parks,Lak Wal,1,1,Lak Wal,No confident pin match
Idaho,State Parks,Mas Roc,1,1,Mas Roc,No confident pin match
Idaho,State Parks,Old Mis,1,1,Old Mis,No confident pin match
Idaho,State Parks,gen,1,1,gen,No confident pin match
Idaho,State Parks,winchester,1,1,winchester,No confident pin match
Illinois,State Parks,Walnut Point,1,1,Walnut Point,No confident pin match
Iowa,State Parks,Iowa Junior Naturalist,9,9,Iowa Junior Naturalist,No confident pin match
Iowa,State Parks,Jun Nat,1,1,Jun Nat,No confident pin match
Kentucky,State Parks,California State Parks,1,1,California State Parks,No confident pin match
Kentucky,State Parks,Kentucky State Parks Junior Naturalist,1,1,Kentucky State Parks Junior Naturalist,No confident pin match
Kentucky,State Parks,Lexington Parks and Recreation,1,1,Lexington Parks and Recreation,No confident pin match
Kentucky,State Parks,Mason County Parks,1,1,Mason County Parks,No confident pin match
Kentucky,State Parks,Orange County Parks,1,1,Orange County Parks,No confident pin match
Kentucky,State Parks,San Mateo County Parks,1,1,San Mateo County Parks,No confident pin match
Maine,State Parks,Allagash,1,1,Allagash,No confident pin match
Maine,State Parks,Maine State Parks,8,8,Maine State Parks,No confident pin match
Maryland,State Parks,Duc,1,1,Duc,No confident pin match
Maryland,State Parks,Maryland squirrel,1,1,Maryland squirrel,No confident pin match
Maryland,State Parks,Mncppc,1,1,Mncppc,No confident pin match
Massachusetts,State Parks,Cambridge,1,1,Cambridge,No confident pin match
Michigan,State Parks,Bay City,4,4,Bay City,No confident pin match
Michigan,State Parks,Oakland,1,1,Oakland,No confident pin match
Michigan,State Parks,Portage Parks,8,8,Portage Parks,No confident pin match
Montana,State Parks,Genric plastic,1,1,Genric plastic,No confident pin match
Nebraska,State Parks,Ano,1,1,Ano,No confident pin match
Nebraska,State Parks,Beaver Jr Naturalist,1,1,Beaver Jr Naturalist,No confident pin match
Nebraska,State Parks,Jr Nat,1,1,Jr Nat,No confident pin match
Nebraska,State Parks,Nature Explorer,1,1,Nature Explorer,No confident pin match
Nebraska,State Parks,Nebraska State Parks,12,12,Nebraska State Parks,No confident pin match
Nebraska,State Parks,Raccoon Ranger hat,1,1,Raccoon Ranger hat,No confident pin match
Nebraska,State Parks,watershed patch,1,1,watershed patch,No confident pin match
Nevada,State Parks,Berlin,1,1,Berlin,No confident pin match
Nevada,State Parks,Cat Gor,1,1,Cat Gor,No confident pin match
Nevada,State Parks,Cave Lake,1,1,Cave Lake,No confident pin match
Nevada,State Parks,Ker rya,1,1,Ker rya,No confident pin match
Nevada,State Parks,Lake Tah,1,1,Lake Tah,No confident pin match
Nevada,State Parks,May Arboretum,3,3,May Arboretum,No confident pin match
Nevada,State Parks,Mor sta,1,1,Mor sta,No confident pin match
Nevada,State Parks,State Sitck,1,1,State Sitck,No confident pin match
Nevada,State Parks,Was,1,1,Was,No confident pin match
Nevada,State Parks,fort chu,1,1,fort chu,No confident pin match
Nevada,State Parks,gen,1,1,gen,No confident pin match
Nevada,State Parks,ward,1,1,ward,No confident pin match
Nevada,State Parks,wild Hor,1,1,wild Hor,No confident pin match
New Hampshire,State Parks,Lamprey River Patch,1,1,Lamprey River Patch,No confident pin match
New Jersey,State Parks,Burlington County,1,1,Burlington County,No confident pin match
New Mexico,State Parks,Coronado Patch (1),1,1,Coronado Patch (1),No confident pin match
New Mexico,State Parks,Jemez Historic Site,1,1,Jemez Historic Site,No confident pin match
New Mexico,State Parks,Raccoon Holding bag,1,1,Raccoon Holding bag,No confident pin match
New York,State Parks,Jr Nat1,1,1,Jr Nat1,No confident pin match
New York,State Parks,Jr Nat2,1,1,Jr Nat2,No confident pin match
Pennsylvania,State Parks,I love,1,1,I love,No confident pin match
Pennsylvania,State Parks,Pennsylvania State Parks,7,7,Pennsylvania State Parks,No confident pin match
South Carolina,State Parks,South Carolina State Parks,1,1,South Carolina State Parks,No confident pin match
South Dakota,State Parks,Buffalo patch,1,1,Buffalo patch,No confident pin match
South Dakota,State Parks,Fox Patch,1,1,Fox Patch,No confident pin match
South Dakota,State Parks,aturalist Aide Patch (4),1,1,aturalist Aide Patch (4),No confident pin match
Tennessee,State Parks,Shelby Farms Park,3,3,Shelby Farms Park,No confident pin match
Tennessee,State Parks,Warner Parks,1,1,Warner Parks,No confident pin match
Texas,State Parks,Goo Is,1,1,Goo Is,No confident pin match
Texas,State Parks,Level One,1,1,Level One,No confident pin match
Texas,State Parks,Level Three,1,1,Level Three,No confident pin match
Texas,State Parks,Level Two,1,1,Level Two,No confident pin match
Texas,State Parks,Poss um Kingdom SP,1,1,Poss um Kingdom SP,No confident pin match
Texas,State Parks,The Alamo,1,1,The Alamo,No confident pin match
Unknown - Alaska and Pacific State Parks,State Parks,Unidentified State Parks images - Alaska and Pacific State Parks,25,12,Unidentified State Parks images - Alaska and Pacific State Parks,No confident pin match
Unknown - Intermountain State Parks,State Parks,Unidentified State Parks images - Intermountain State Parks,83,12,Unidentified State Parks images - Intermountain State Parks,No confident pin match
Unknown - Intermountain State Parks,State Parks,Wooden Genric,1,1,Wooden Genric,No confident pin match
Unknown - Midwest State Parks,State Parks,Unidentified State Parks images - Midwest State Parks,98,12,Unidentified State Parks images - Midwest State Parks,No confident pin match
Unknown - Northeast State Parks,State Parks,Unidentified State Parks images - Northeast State Parks,36,12,Unidentified State Parks images - Northeast State Parks,No confident pin match
Unknown - Southeast State Parks,State Parks,Junior Naturalist With Squirrel Patch.jp,1,1,Junior Naturalist With Squirrel Patch.jp,No confident pin match
Unknown - Southeast State Parks,State Parks,Unidentified State Parks images - Southeast State Parks,21,12,Unidentified State Parks images - Southeast State Parks,No confident pin match
Utah,State Parks,Anasazi,1,1,Anasazi,No confident pin match
Utah,State Parks,Camp Floyd,1,1,Camp Floyd,No confident pin match
Utah,State Parks,Gr Salt,1,1,Gr Salt,No confident pin match
Utah,State Parks,Utah State Parks,19,12,Utah State Parks,No confident pin match
Utah,State Parks,kokachrome,1,1,kokachrome,No confident pin match
Virginia,State Parks,Bre int 1,2,2,Bre int 1,No confident pin match
Virginia,State Parks,Firs,1,1,Firs,No confident pin match
Virginia,State Parks,Frying Pan,1,1,Frying Pan,No confident pin match
Virginia,State Parks,Hun Mo,1,1,Hun Mo,No confident pin match
Virginia,State Parks,Nat bri,1,1,Nat bri,No confident pin match
Virginia,State Parks,Poco,1,1,Poco,No confident pin match
Virginia,State Parks,Sailors Creek,1,1,Sailors Creek,No confident pin match
Virginia,State Parks,Staunton River,1,1,Staunton River,No confident pin match
Virginia,State Parks,kip pat,1,1,kip pat,No confident pin match
Virginia,State Parks,mac,1,1,mac,No confident pin match
Virginia,State Parks,shen,1,1,shen,No confident pin match
Washington,State Parks,Beaver with hat and bic,1,1,Beaver with hat and bic,No confident pin match
Washington,State Parks,Button 1,1,1,Button 1,No confident pin match
Washington,State Parks,Button 2,1,1,Button 2,No confident pin match
Washington,State Parks,PGE,1,1,PGE,No confident pin match
Washington,State Parks,Snohomish,1,1,Snohomish,No confident pin match
Washington,State Parks,Wash Button Pin,1,1,Wash Button Pin,No confident pin match
West Virginia,State Parks,rock,1,1,rock,No confident pin match
Wisconsin,State Parks,DNR 1985,5,5,DNR 1985,No confident pin match
Wisconsin,State Parks,DNR Boat Safety,1,1,DNR Boat Safety,No confident pin match
Wisconsin,State Parks,DNR Jr Angler,1,1,DNR Jr Angler,No confident pin match
Wisconsin,State Parks,DNR Mushroom,1,1,DNR Mushroom,No confident pin match
Wisconsin,State Parks,DNR butterfly,1,1,DNR butterfly,No confident pin match
Wisconsin,State Parks,Eagle Cave Patch (1),3,3,Eagle Cave Patch (1),No confident pin match
Wisconsin,State Parks,Explore,1,1,Explore,No confident pin match
Wisconsin,State Parks,Explore2,1,1,Explore2,No confident pin match
Wisconsin,State Parks,Ham ex,1,1,Ham ex,No confident pin match
Wisconsin,State Parks,badger,1,1,badger,No confident pin match
Wisconsin,State Parks,leaf,1,1,leaf,No confident pin match
Wyoming,State Parks,Wyoming F and Game,1,1,Wyoming F and Game,No confident pin match
,U.S. Army Corps of Engineers,Genric,1,1,Genric,No confident pin match
,U.S. Army Corps of Engineers,Long,1,1,Long,No confident pin match
,U.S. Army Corps of Engineers,Play it safe,2,2,Play it safe,No confident pin match
,U.S. Army Corps of Engineers,Safety Patrol,1,1,Safety Patrol,No confident pin match
,U.S. Army Corps of Engineers,U.S Army Corps of Engineers,12,12,U.S Army Corps of Engineers,No confident pin match
California,U.S. Army Corps of Engineers,Lake mendocino,1,1,Lake mendocino,No confident pin match
California,U.S. Army Corps of Engineers,stan,1,1,stan,No confident pin match
Connecticut,U.S. Army Corps of Engineers,Ho La,1,1,Ho La,No confident pin match
Georgia,U.S. Army Corps of Engineers,craters lake,1,1,craters lake,No confident pin match
Kentucky,U.S. Army Corps of Engineers,Gren Riv,1,1,Gren Riv,No confident pin match
Kentucky,U.S. Army Corps of Engineers,Lake Cum,1,1,Lake Cum,No confident pin match
Massachusetts,U.S. Army Corps of Engineers,Cap Cod2,1,1,Cap Cod2,No confident pin match
Minnesota,U.S. Army Corps of Engineers,Life Jackets,1,1,Life Jackets,No confident pin match
Mississippi,U.S. Army Corps of Engineers,Tenn,1,1,Tenn,No confident pin match
Missouri,U.S. Army Corps of Engineers,St Lou,1,1,St Lou,No confident pin match
North Carolina,U.S. Army Corps of Engineers,Falls,1,1,Falls,No confident pin match
North Carolina,U.S. Army Corps of Engineers,Jordan,1,1,Jordan,No confident pin match
North Carolina,U.S. Army Corps of Engineers,W. Kerr Scott,2,2,W. Kerr Scott,No confident pin match
Ohio,U.S. Army Corps of Engineers,Deer C,1,1,Deer C,No confident pin match
Ohio,U.S. Army Corps of Engineers,Del BR,1,1,Del BR,No confident pin match
Oklahoma,U.S. Army Corps of Engineers,Keysto,1,1,Keysto,No confident pin match
Oklahoma,U.S. Army Corps of Engineers,McC Ker,1,1,McC Ker,No confident pin match
Oregon,U.S. Army Corps of Engineers,Bonneville badge2,1,1,Bonneville badge2,No confident pin match
Pennsylvania,U.S. Army Corps of Engineers,Raystown,1,1,Raystown,No confident pin match
Pennsylvania,U.S. Army Corps of Engineers,Tigoa,1,1,Tigoa,No confident pin match
Tennessee,U.S. Army Corps of Engineers,J Per,1,1,J Per,No confident pin match
Texas,U.S. Army Corps of Engineers,Cap Cod,1,1,Cap Cod,No confident pin match
Virginia,U.S. Army Corps of Engineers,Jo H Ker,1,1,Jo H Ker,No confident pin match
Virginia,U.S. Army Corps of Engineers,phil,1,1,phil,No confident pin match
Washington,U.S. Army Corps of Engineers,Ice Har,1,1,Ice Har,No confident pin match
,U.S. Forest Service,Puerto Rico,1,1,,No confident pin match
Alaska,U.S. Forest Service,Eldor ado National Forest,2,2,Eldor ado National Forest,No confident pin match
Alaska,U.S. Forest Service,Rise to the Future Fish Alaska's NFs,7,7,Rise to the Future Fish Alaska's NFs,No confident pin match
Arizona,U.S. Forest Service,Coconino National Forest,3,3,Coconino National Forest,No confident pin match
Arizona,U.S. Forest Service,Coronado National Forest,3,3,Coronado National Forest,No confident pin match
Arizona,U.S. Forest Service,Kaibab National Forest,3,3,Kaibab National Forest,No confident pin match
California,U.S. Forest Service,Miscellaneous,25,12,,No confident pin match
Colorado,U.S. Forest Service,Arapaho National Forest,1,1,Arapaho National Forest,No confident pin match
Colorado,U.S. Forest Service,"Chimney Rock, San Juan National Forest",5,5,"Chimney Rock, San Juan National Forest",No confident pin match
Colorado,U.S. Forest Service,Estes Park,2,2,Estes Park,No confident pin match
Idaho,U.S. Forest Service,Caribou-Targhee National Forest and Curlew National Grassland,1,1,Caribou-Targhee National Forest and Curlew National Grassland,No confident pin match
Nebraska,U.S. Forest Service,Hudson Ming,1,1,Hudson Ming,No confident pin match
Nebraska,U.S. Forest Service,Pike-San Isabel National Forests and Cimarron and Comanche National Grasslands,1,1,Pike-San Isabel National Forests and Cimarron and Comanche National Grasslands,No confident pin match
Nebraska,U.S. Forest Service,Rio Grande N ational Forest,2,2,Rio Grande N ational Forest,No confident pin match
Nevada,U.S. Forest Service,Toiyabe National Forest,3,3,Toiyabe National Forest,No confident pin match
New Hampshire,U.S. Forest Service,Prevent Forest fires,1,1,Prevent Forest fires,No confident pin match
New Hampshire,U.S. Forest Service,Whi Mou,1,1,Whi Mou,No confident pin match
New Mexico,U.S. Forest Service,Fire Prevention,1,1,Fire Prevention,No confident pin match
New Mexico,U.S. Forest Service,Junior Snow Ranger,4,4,Junior Snow Ranger,No confident pin match
New Mexico,U.S. Forest Service,Smokey's Fire Patrol,2,2,Smokey's Fire Patrol,No confident pin match
New Mexico,U.S. Forest Service,Smokey's Ranger In Training,2,2,Smokey's Ranger In Training,No confident pin match
New Mexico,U.S. Forest Service,Swag!,4,4,Swag!,No confident pin match
New Mexico,U.S. Forest Service,Thea Marie Garrett (She/her),1,1,Thea Marie Garrett (She/her),No confident pin match
North Carolina,U.S. Forest Service,Cradle of Forestry in America,4,4,Cradle of Forestry in America,No confident pin match
Oregon,U.S. Forest Service,Mount Hood National Forest,2,2,Mount Hood National Forest,No confident pin match
Oregon,U.S. Forest Service,"National Interagency Fire Center (NIFC) in Boise, Idaho",3,3,"National Interagency Fire Center (NIFC) in Boise, Idaho",No confident pin match
Oregon,U.S. Forest Service,Sawtooth National Forest,4,4,Sawtooth National Forest,No confident pin match
Oregon,U.S. Forest Service,Siuslaw National Forest,2,2,Siuslaw National Forest,No confident pin match
Oregon,U.S. Forest Service,Willamette National Forest,1,1,Willamette National Forest,No confident pin match
South Dakota,U.S. Forest Service,Bessey Recreation Complex and Campground,2,2,Bessey Recreation Complex and Campground,No confident pin match
Washington,U.S. Forest Service,Gifford Pinchot National Forest,6,6,Gifford Pinchot National Forest,No confident pin match
