pinIds,sourceState,sourceAgency,sourceSiteName,imageTitle,imagePath,reason
jr_oregon_oregon_caves_nm_and_pr,Oregon,National Park Service,Oregon Caves National Monument and Preserve,I know they look alike but the one on the left is darker in color and ha,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Oregon/023 - I know they look alike but the one on the left is darker in color and ha - fe734904aa.jpg,Image title did not match mapped site tokens
jr_oregon_oregon_caves_nm_and_pr,Oregon,National Park Service,Oregon Caves National Monument and Preserve,I know they look alike but the one on the left is darker in color and ha,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Oregon/024 - I know they look alike but the one on the left is darker in color and ha - 9fef7bd5e9.jpg,Image title did not match mapped site tokens
jr_oregon_oregon_caves_nm_and_pr,Oregon,National Park Service,Oregon Caves National Monument and Preserve,Big Tree Trail,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/Oregon/132 - Big Tree Trail.jpeg - a50b3da89c.jpg,Image title did not match mapped site tokens
jr_oregon_oregon_caves_nm_and_pr,Oregon,National Park Service,Oregon Caves National Monument and Preserve,No Name Trail,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/Oregon/133 - No Name Trail.jpeg - ba82909615.jpg,Image title did not match mapped site tokens
jr_oregon_oregon_caves_nm_and_pr,Oregon,National Park Service,Oregon Caves National Monument and Preserve,Big Tree,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/Oregon/134 - Big Tree.jpeg - 4fc6207c77.jpg,Image title did not match mapped site tokens
jr_pennsylvania_eisenhower_nhs,Pennsylvania,National Park Service,Eisenhower National Historic Site,Eiseh sta,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Pennsylvania/015 - Eiseh sta.jpeg - 3a60751868.jpg,Image title did not match mapped site tokens
jr_pennsylvania_flight_93_nm,Pennsylvania,National Park Service,Flight 93 National Memorial,Edgar,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Pennsylvania/077 - Edgar.jpeg - 8604d97138.jpg,Image title did not match mapped site tokens
jr_pennsylvania_friendship_hill_nhs,Pennsylvania,National Park Service,Friendship Hill National Historic Site,For Nec pat2,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Pennsylvania/069 - For Nec pat2.jpeg - 1cc2b865ff.jpg,Image title did not match mapped site tokens
jr_pennsylvania_gettysburg_nmp,Pennsylvania,National Park Service,Gettysburg National Military Park,National Trails,/Users/carterswarm/Downloads/JR_Rewards_Badges/Stickers/_Agency Header/143 - National Trails - 411c4cd4ed.jpg,Image title did not match mapped site tokens
jr_pennsylvania_hopewell_furnace_nhs,Pennsylvania,National Park Service,Hopewell Furnace National Historic Site,National Trails,/Users/carterswarm/Downloads/JR_Rewards_Badges/Stickers/_Agency Header/142 - National Trails - 385996d96c.jpg,Image title did not match mapped site tokens
jr_south_carolina_ninety_six_nhs,South Carolina,National Park Service,Ninety Six National Historic Site,Fort Sumter star patch,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/South Carolina/009 - Fort Sumter star patch.jpeg - 9e4d660ca6.jpg,Image title did not match mapped site tokens
jr_south_dakota_minuteman_missile_nhs,South Dakota,National Park Service,Minuteman Missile National Historic Site,MMM plastic Badge,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/South Dakota/023 - MMM plastic Badge.jpeg - 360963c31a.jpg,Image title did not match mapped site tokens
jr_tennessee_fort_donelson_nb,Tennessee,National Park Service,Fort Donelson National Battlefield,Generic,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/040 - Generic - a69ea791dc.jpg,Image title did not match mapped site tokens
jr_texas_big_thicket_npr,Texas,National Park Service,Big Thicket National Preserve,ASL,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Texas/013 - ASL.jpeg - f3df8a0ff4.jpg,Image title did not match mapped site tokens
jr_texas_fort_davis_nhs,Texas,National Park Service,Fort Davis National Historic Site,cannon ball 2017,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/Texas/160 - cannon ball 2017.jpeg - c7a996bf0c.jpg,Image title did not match mapped site tokens
jr_texas_lyndon_b_johnson_nhp,Texas,National Park Service,Lyndon B Johnson National Historical Park,LBJ Wooden,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Texas/037 - LBJ Wooden.jpeg - 8124563260.jpg,Image title did not match mapped site tokens
jr_texas_palo_alto_battlefield_nhp,Texas,National Park Service,Palo Alto Battlefield National Historical Park,National Trails,/Users/carterswarm/Downloads/JR_Rewards_Badges/Stickers/_Agency Header/162 - National Trails - 1585cef8d2.jpg,Image title did not match mapped site tokens
jr_utah_zion_np,Utah,National Park Service,Zion National Park,Zio4n,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Utah/003 - Zio4n.jpeg - 770bd33617.jpg,Image title did not match mapped site tokens
jr_virginia_appomattox_court_house_nhp,Virginia,National Park Service,Appomattox Court House National Historical Park,Lees Retreat,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Virginia/048 - Lees Retreat.jpeg - ca2e538444.jpg,Image title did not match mapped site tokens
jr_virginia_appomattox_court_house_nhp,Virginia,National Park Service,Appomattox Court House National Historical Park,Arlington 150,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Virginia/049 - Arlington 150.jpeg - 31425e2084.jpg,Image title did not match mapped site tokens
jr_virginia_booker_t_washington_nm,Virginia,National Park Service,Booker T Washington National Monument,Generic,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/014 - Generic - 44de3cc5b5.jpg,Image title did not match mapped site tokens
jr_virginia_booker_t_washington_nm,Virginia,National Park Service,Booker T Washington National Monument,Generic,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/015 - Generic - 98ce119ee5.jpg,Image title did not match mapped site tokens
jr_virginia_booker_t_washington_nm,Virginia,National Park Service,Booker T Washington National Monument,Generic,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/016 - Generic - a26c7844c0.jpg,Image title did not match mapped site tokens
jr_virginia_fredericksburg_and_spotsylvania_nmp,Virginia,National Park Service,Fredericksburg and Spotsylvania National Military Park,Chance2,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Virginia/066 - Chance2.jpeg - c8b070a9a8.jpg,Image title did not match mapped site tokens
jr_virginia_fredericksburg_and_spotsylvania_nmp,Virginia,National Park Service,Fredericksburg and Spotsylvania National Military Park,The Wilderness Rocker,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Virginia/070 - The Wilderness Rocker.jpeg - 948033ff8b.jpg,Image title did not match mapped site tokens
jr_virginia_richmond_nbp,Virginia,National Park Service,Richmond National Battlefield Park,National Trails,/Users/carterswarm/Downloads/JR_Rewards_Badges/Stickers/_Agency Header/134 - National Trails - b7442e94af.jpg,Image title did not match mapped site tokens
jr_virginia_back_bay_nwr,Vermont,National Wildlife Refuge,Back Bay National Wildlife Refuge,Great Dismal Swamp,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Wildlife Refuge/Vermont/194 - Great Dismal Swamp.jpeg - 94cb0cbce1.jpg,Image title did not match mapped site tokens
jr_virginia_back_bay_nwr,Vermont,National Wildlife Refuge,Back Bay National Wildlife Refuge,Rap,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Wildlife Refuge/Vermont/195 - Rap.jpeg - 216e4a1fa8.jpg,Image title did not match mapped site tokens
jr_alaska_chugach_nf,Alaska,U.S. Forest Service,Chugach National Forest,Beglich,/Users/carterswarm/Downloads/JR_Rewards_Badges/U.S. Forest Service/Alaska/025 - Beglich.jpeg - 4bc5ef30b0.jpg,Image title did not match mapped site tokens
jr_alaska_chugach_nf,Alaska,U.S. Forest Service,Chugach National Forest,Beg Sti,/Users/carterswarm/Downloads/JR_Rewards_Badges/U.S. Forest Service/Alaska/026 - Beg Sti.jpeg - a05dd70adc.jpg,Image title did not match mapped site tokens
jr_alaska_tongass_nf,Alaska,U.S. Forest Service,Tongass National Forest,Mendenhall Glacier,/Users/carterswarm/Downloads/JR_Rewards_Badges/U.S. Forest Service/Alaska/031 - Mendenhall Glacier.jpeg - 1b619fadee.jpg,Image title did not match mapped site tokens
jr_alaska_tongass_nf,Alaska,U.S. Forest Service,Tongass National Forest,Mendenhall Glacier bird,/Users/carterswarm/Downloads/JR_Rewards_Badges/U.S. Forest Service/Alaska/032 - Mendenhall Glacier bird.jpeg - a6b7f1cb50.jpg,Image title did not match mapped site tokens
jr_california_inyo_nf,California,U.S. Forest Service,Inyo National Forest,Mono Basin2,/Users/carterswarm/Downloads/JR_Rewards_Badges/U.S. Forest Service/California/046 - Mono Basin2.jpeg - 3bdc8ade39.jpg,Image title did not match mapped site tokens
jr_california_inyo_nf,California,U.S. Forest Service,Inyo National Forest,Manmmoth,/Users/carterswarm/Downloads/JR_Rewards_Badges/U.S. Forest Service/California/050 - Manmmoth.jpeg - 006ba1cfa7.jpg,Image title did not match mapped site tokens
jr_montana_helena_lewis_and_clark_nf,Montana,U.S. Forest Service,Lewis and Clark National Forest,earthquake lake patch,/Users/carterswarm/Downloads/JR_Rewards_Badges/U.S. Forest Service/Montana/086 - earthquake lake patch.jpeg - 82523354d6.jpg,Image title did not match mapped site tokens
jr_montana_helena_lewis_and_clark_nf,Montana,U.S. Forest Service,Lewis and Clark National Forest,earthquake lake,/Users/carterswarm/Downloads/JR_Rewards_Badges/U.S. Forest Service/Montana/087 - earthquake lake.jpeg - 32ea3a2be7.jpg,Image title did not match mapped site tokens
