pinIds,sourceState,sourceAgency,sourceSiteName,imageTitle,imagePath,reason
jr_colorado_black_canyon_of_the_gunnison_np,Colorado,National Park Service,Black Canyon Of The Gunnison National Park,Cure sticker,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Colorado/088 - Cure sticker.jpeg - 753727d3af.jpg,Image title did not match mapped site tokens
jr_colorado_black_canyon_of_the_gunnison_np,Colorado,National Park Service,Black Canyon Of The Gunnison National Park,curecanti sticker,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Colorado/089 - curecanti sticker.jpeg - 11ad6ae367.jpg,Image title did not match mapped site tokens
jr_colorado_black_canyon_of_the_gunnison_np,Colorado,National Park Service,Black Canyon Of The Gunnison National Park,curecanti wooden,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Colorado/090 - curecanti wooden.jpeg - 56e31bcf2a.jpg,Image title did not match mapped site tokens
jr_colorado_black_canyon_of_the_gunnison_np,Colorado,National Park Service,Black Canyon Of The Gunnison National Park,Curecanti platic badge,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Colorado/091 - Curecanti platic badge.jpeg - 400f6520db.jpg,Image title did not match mapped site tokens
jr_florida_de_soto_nm,Florida,National Park Service,De Soto National Memorial,desoto coin,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Florida/047 - desoto coin.jpeg - f59f327128.jpg,Image title did not match mapped site tokens
jr_florida_de_soto_nm,Florida,National Park Service,De Soto National Memorial,Desoto wooden badge2,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Florida/048 - Desoto wooden badge2.jpeg - b81d74491f.jpg,Image title did not match mapped site tokens
jr_florida_de_soto_nm,Florida,National Park Service,De Soto National Memorial,Desoto fishing badge,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Florida/049 - Desoto fishing badge.jpeg - 2a0e5fe6bd.jpg,Image title did not match mapped site tokens
jr_florida_de_soto_nm,Florida,National Park Service,De Soto National Memorial,Desoto summer badge,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Florida/050 - Desoto summer badge.jpeg - cdaeae683f.jpg,Image title did not match mapped site tokens
jr_florida_everglades_np,Florida,National Park Service,Everglades National Park,Florida,/Users/carterswarm/Downloads/JR_Rewards_Badges/Prototypes/Florida/016 - Florida - 506d5962f9.jpg,Image title did not match mapped site tokens
jr_florida_fort_caroline_nm,Florida,National Park Service,Fort Caroline National Memorial,Generic,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/036 - Generic - 1ef6fdebc1.jpg,Image title did not match mapped site tokens
