hash,fileName,fileId,viewUrl,thumbnailUrl,localFile
00bf1134cc,jr-reward-00bf1134cc.webp,1RhmyvxJkOEk86kBYf1EOZyXTBQVU03Cw,https://drive.google.com/file/d/1RhmyvxJkOEk86kBYf1EOZyXTBQVU03Cw/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1RhmyvxJkOEk86kBYf1EOZyXTBQVU03Cw&sz=w1600,01-code/app/assets/badges/jr-rewards/00bf1134cc.webp
00c7287572,jr-reward-00c7287572.webp,1oV71wxGsBaMGIvpNLge9EiaZc9o9HqsS,https://drive.google.com/file/d/1oV71wxGsBaMGIvpNLge9EiaZc9o9HqsS/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1oV71wxGsBaMGIvpNLge9EiaZc9o9HqsS&sz=w1600,01-code/app/assets/badges/jr-rewards/00c7287572.webp
00ce58a258,jr-reward-00ce58a258.webp,1QXCMzGscpencmyZ1rCrk7ltmixPLlOae,https://drive.google.com/file/d/1QXCMzGscpencmyZ1rCrk7ltmixPLlOae/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1QXCMzGscpencmyZ1rCrk7ltmixPLlOae&sz=w1600,01-code/app/assets/badges/jr-rewards/00ce58a258.webp
00cf0c7a90,jr-reward-00cf0c7a90.webp,1wcYUf5tyq0Z9vP87YmMu07h3K498ils1,https://drive.google.com/file/d/1wcYUf5tyq0Z9vP87YmMu07h3K498ils1/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1wcYUf5tyq0Z9vP87YmMu07h3K498ils1&sz=w1600,01-code/app/assets/badges/jr-rewards/00cf0c7a90.webp
00d10037bf,jr-reward-00d10037bf.webp,1gT53KiYHXjWdmVK4W0AnKZIzF193Kg3d,https://drive.google.com/file/d/1gT53KiYHXjWdmVK4W0AnKZIzF193Kg3d/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1gT53KiYHXjWdmVK4W0AnKZIzF193Kg3d&sz=w1600,01-code/app/assets/badges/jr-rewards/00d10037bf.webp
00d33f3622,jr-reward-00d33f3622.webp,1f-llQ4J01pFMRuW2wNFh-D2HCMhEoCdJ,https://drive.google.com/file/d/1f-llQ4J01pFMRuW2wNFh-D2HCMhEoCdJ/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1f-llQ4J01pFMRuW2wNFh-D2HCMhEoCdJ&sz=w1600,01-code/app/assets/badges/jr-rewards/00d33f3622.webp
00d3f189e8,jr-reward-00d3f189e8.webp,1Bqp5qT0nLTZGOqzfdKq1CwUA5B8wimru,https://drive.google.com/file/d/1Bqp5qT0nLTZGOqzfdKq1CwUA5B8wimru/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1Bqp5qT0nLTZGOqzfdKq1CwUA5B8wimru&sz=w1600,01-code/app/assets/badges/jr-rewards/00d3f189e8.webp
00e08a77f3,jr-reward-00e08a77f3.webp,1JDlPUcy13e6jpdGNJ6_GHaChy8_OVNnw,https://drive.google.com/file/d/1JDlPUcy13e6jpdGNJ6_GHaChy8_OVNnw/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1JDlPUcy13e6jpdGNJ6_GHaChy8_OVNnw&sz=w1600,01-code/app/assets/badges/jr-rewards/00e08a77f3.webp
00efc12f92,jr-reward-00efc12f92.webp,1djt203F_HPX-oyXoTQEplqWpklpGjLbD,https://drive.google.com/file/d/1djt203F_HPX-oyXoTQEplqWpklpGjLbD/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1djt203F_HPX-oyXoTQEplqWpklpGjLbD&sz=w1600,01-code/app/assets/badges/jr-rewards/00efc12f92.webp
012782d034,jr-reward-012782d034.webp,1usiiMLje3ognXAwegFd29NzQYqVCOAgp,https://drive.google.com/file/d/1usiiMLje3ognXAwegFd29NzQYqVCOAgp/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1usiiMLje3ognXAwegFd29NzQYqVCOAgp&sz=w1600,01-code/app/assets/badges/jr-rewards/012782d034.webp
014b7c3a5e,jr-reward-014b7c3a5e.webp,1HdwtL21bg7QaNFmZBy9KHMj8HmpGvYWa,https://drive.google.com/file/d/1HdwtL21bg7QaNFmZBy9KHMj8HmpGvYWa/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1HdwtL21bg7QaNFmZBy9KHMj8HmpGvYWa&sz=w1600,01-code/app/assets/badges/jr-rewards/014b7c3a5e.webp
