siteID,siteName,siteInfo,jrBooks,latitude,longitude,state,address,agency,historyTimelineInfo,badgePictures,officialGovWebsite,websiteLinks,lastUpdated,specialPrograms,
jr_alabama_cathedral_caverns_sp,Cathedral Caverns SP,"Imported from Junior Ranger Master Spreadsheet Alabama row 49. Coordinate source: nominatim (Cathedral Caverns State Park, Marshall County, Alabama, United States).",,34.5728997,-86.2271839,Alabama,,State,,,,,2026-05-24,Junior Ranger Adventure Guide,
jr_alabama_confederate_memorial_park,Confederate Memorial Park,"Imported from Junior Ranger Master Spreadsheet Alabama row 50. Coordinate source: manual-web (Confederate Memorial Park, Marbury, AL).",,32.7209622,-86.4708099,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort | Boy Scout Camper Patch,
jr_alabama_desoto_sp,DeSoto SP,Imported from Junior Ranger Master Spreadsheet Alabama row 52. Coordinate source: existing-catalog (DeSoto State Park).,,34.4957262,-85.6272192,Alabama,,State,,,,,2026-05-24,Junior Ranger Adventure Guide | Legends on the Lookout,
jr_alabama_fendall_hall,Fendall Hall,"Imported from Junior Ranger Master Spreadsheet Alabama row 54. Coordinate source: nominatim (Fendall Hall, West Barbour Street, Eufaula, Barbour County, Alabama, 36027, United States).",,31.8915678,-85.1571520,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort,
jr_alabama_fort_morgan,Fort Morgan,"Imported from Junior Ranger Master Spreadsheet Alabama row 55. Coordinate source: nominatim (Fort Morgan, Baldwin County, Alabama, United States).",,30.2281878,-88.0229106,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort | Junior Explorer in development | US Lighthouse Society Passport,
jr_alabama_fort_toulouse_fort_jackson,Fort Toulouse - Fort Jackson,"Imported from Junior Ranger Master Spreadsheet Alabama row 58. Coordinate source: manual-nominatim (Fort Toulouse III Replica / Fort Toulouse-Jackson Park, Wetumpka, AL).",,32.5066030,-86.2515904,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort | Scout Patch,
jr_alabama_freedom_rides_museum,Freedom Rides Museum,"Imported from Junior Ranger Master Spreadsheet Alabama row 60. Coordinate source: nominatim (Greyhound Bus Station;Freedom Rides Museum, South Court Street, Montgomery, Montgomery County, Alabama, 36104, United States).",,32.3746294,-86.3091111,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort,
jr_alabama_gaineswood,Gaineswood,"Imported from Junior Ranger Master Spreadsheet Alabama row 61. Coordinate source: nominatim (Gaineswood, East Morgan Street, Rockcut, Demopolis, Marengo County, Alabama, 36732, United States).",,32.5079141,-87.8336241,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort,
jr_alabama_historic_blakeley_sp,Historic Blakeley SP,"Imported from Junior Ranger Master Spreadsheet Alabama row 62. Coordinate source: nominatim (Historic Blakeley State Park, Baldwin County, Alabama, United States).",,30.7417139,-87.9185435,Alabama,,State,,,,,2026-05-24,Junior Ranger,
jr_alabama_lakepoint_sp,Lakepoint SP,"Imported from Junior Ranger Master Spreadsheet Alabama row 63. Coordinate source: nominatim (Lakepoint State Park Resort Golf Course, 104, Lakepoint Drive, Eufaula, Barbour County, Alabama, 36027, United States).",,31.9920372,-85.1088637,Alabama,,State,,,,,2026-05-24,Junior Ranger Adventure Guide,
jr_alabama_alabama_sp,Alabama SP,"Imported from Junior Ranger Master Spreadsheet Alabama row 64. Coordinate source: manual-nominatim (Alabama State Parks Division headquarters, 64 North Union Street, Montgomery, AL).",,32.3785453,-86.2992623,Alabama,,State,,,,,2026-05-24,Junior Ranger Adventure Guide,
jr_alabama_lake_guntersville_state_park,Lake Guntersville State Park,"Imported from Junior Ranger Master Spreadsheet Alabama row 65. Coordinate source: nominatim (Lake Guntersville State Park, Guntersville, Marshall County, Alabama, United States).",,34.3949090,-86.2079661,Alabama,,State,,,,,2026-05-24,BARK Ranger certificate | Junior Ranger Adventure Guide,
jr_alabama_frank_jackson_sp,Frank Jackson SP,"Imported from Junior Ranger Master Spreadsheet Alabama row 67. Coordinate source: nominatim (Frank Jackson State Park, Opp, Covington County, Alabama, United States).",,31.3209604,-86.2691112,Alabama,,State,,,,,2026-05-24,Junior Ranger Adventure Guide,
jr_alabama_magnolia_grove,Magnolia Grove,"Imported from Junior Ranger Master Spreadsheet Alabama row 68. Coordinate source: nominatim (Magnolia Grove, Hobson Street, Greensboro, Hale County, Alabama, 36744, United States).",,32.7041360,-87.6079994,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort,
jr_alabama_oak_mountain_sp,Oak Mountain SP,"Imported from Junior Ranger Master Spreadsheet Alabama row 69. Coordinate source: nominatim (Oak Mountain State Park, Pelham, Shelby County, Alabama, United States).",,33.3433608,-86.7222218,Alabama,,State,,,,,2026-05-24,Junior Ranger Adventure Guide,
jr_alabama_monte_sano_sp,Monte Sano SP,"Imported from Junior Ranger Master Spreadsheet Alabama row 70. Coordinate source: nominatim (Monte Sano State Park, Huntsville, Madison County, Alabama, United States).",,34.7311659,-86.5148993,Alabama,,State,,,,,2026-05-24,Junior Ranger Adventure Guide,
jr_alabama_wind_creek_sp,Wind Creek SP,"Imported from Junior Ranger Master Spreadsheet Alabama row 71. Coordinate source: nominatim (Wind Creek State Park, Alexander City, Tallapoosa County, Alabama, United States).",,32.8616133,-85.9362861,Alabama,,State,,,,,2026-05-24,Junior Ranger Adventure Guide,
jr_alabama_old_cahawba_archaeological_park,Old Cahawba Archaeological Park,"Imported from Junior Ranger Master Spreadsheet Alabama row 72. Coordinate source: nominatim (Old Cahawba Archaeological Park, Capitol Avenue, Cahaba, Dallas County, Alabama, 36767, United States).",,32.3196483,-87.1040136,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort | Scout Patch,
jr_alabama_pond_spring,Pond Spring,"Imported from Junior Ranger Master Spreadsheet Alabama row 74. Coordinate source: manual-web (Pond Spring / Home of Gen. Joe Wheeler marker, 12280 Alabama Highway 20, Hillsboro, AL).",,34.6523500,-87.2505333,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort | Muscle Shoals National Heritage Area Passport,
jr_alabama_university_of_alabama,University of Alabama,Imported from Junior Ranger Master Spreadsheet Alabama row 76. Coordinate source: manual-nominatim (Moundville Archaeological Park / University of Alabama Office of Archaeological Research mailing address).,,33.0059672,-87.6322959,Alabama,,Other,,,,,2026-05-24,Junior Archaeologist,
